"Time"	"indice"
"1"	2	0
"2"	3	0
"3"	4	0
"4"	5	0
"5"	6	0.0253767512647614
"6"	7	0.0617175478403186
"7"	8	0.0917129547258939
"8"	9	0.104412556178302
"9"	10	0.137150737042389
"10"	11	0.207109154993078
"11"	12	0.326926290437114
"12"	13	0.439620204597212
"13"	14	0.627497681648135
"14"	15	0.808796630662999
"15"	16	1.01273610559253
"16"	17	1.40223125885761
"17"	18	1.83939898774412
"18"	19	2.32279965691215
"19"	20	2.7966624822189
"20"	21	3.21302160564794
"21"	22	3.81931575353534
"22"	23	4.29916024313529
"23"	24	4.68498664447529
"24"	25	4.98649061130784
"25"	26	5.2196625812322
"26"	27	5.41569199496121
"27"	28	5.57647101408055
"28"	29	5.75490605983177
"29"	30	5.8626623339112
"30"	31	5.91757496745244
"31"	32	6.00138773260503
"32"	33	6.10573988510467
"33"	34	6.14157388735113
"34"	35	6.22023147458442
"35"	36	6.28694992430139
"36"	37	6.33844819250961
"37"	38	6.38011589574778
"38"	39	6.37971896914594
"39"	40	6.40110548183648
"40"	41	6.41210630687915
"41"	42	6.4009373225476
"42"	43	6.4330354869161
"43"	44	6.4325948558756
"44"	45	6.41643548107514
"45"	46	6.37281147779469
"46"	47	6.3342953021785
"47"	48	6.29495962528021
"48"	49	6.28318688714266
"49"	50	6.25387788212222
"50"	51	6.2409425364084
"51"	52	6.25109561047032
"52"	53	6.23717817389388
"53"	54	6.21487842481845
"54"	55	6.19011148475847
"55"	56	6.17845160489964
"56"	57	6.15800848075817
"57"	58	6.15670546701658
"58"	59	6.13428618362305
"59"	60	6.10770481119583
"60"	61	6.09362308691961
"61"	62	6.07146122476336
"62"	63	6.01326693985231
"63"	64	5.96985738571839
"64"	65	5.93234464577386
"65"	66	5.89298684218139
"66"	67	5.87249660540616
"67"	68	5.81740102399987
"68"	69	5.78603871934004
"69"	70	5.74522292328763
"70"	71	5.7042882328564
"71"	72	5.64789567356995
"72"	73	5.60892343574602
"73"	74	5.58271161421192
"74"	75	5.56544977532063
"75"	76	5.57279017183696
"76"	77	5.53223829436394
"77"	78	5.4793081479092
"78"	79	5.47033613411826
"79"	80	5.47080717543218
"80"	81	5.42601873283915
"81"	82	5.36380262338406
"82"	83	5.32809295289104
"83"	84	5.28787946135394
"84"	85	5.25039860984272
"85"	86	5.26836222717306
"86"	87	5.21696728396521
"87"	88	5.16552263923788
"88"	89	5.12415680236802
"89"	90	5.08846988206826
"90"	91	5.03445001901547
"91"	92	5.00786276211773
"92"	93	4.9704755122034
"93"	94	4.92952789763106
"94"	95	4.88946022797434
"95"	96	4.86416748123137
"96"	97	4.84227193420751
"97"	98	4.79181907581525
"98"	99	4.76895453236396
"99"	100	4.73527030506188
"100"	101	4.71554210038633
"101"	102	4.6938218447538
"102"	103	4.64869992146116
"103"	104	4.57882776049517
"104"	105	4.53723833075011
"105"	106	4.46963022390045
"106"	107	4.40061946846038
"107"	108	4.32700297820994
"108"	109	4.2780028992064
"109"	110	4.20157402164235
"110"	111	4.18459607621275
"111"	112	4.13320343625202
"112"	113	4.07791668552125
"113"	114	4.00878800355326
"114"	115	3.9688056797736
"115"	116	3.92128653068627
"116"	117	3.86963522082205
"117"	118	3.8156734033933
"118"	119	3.79287714921967
"119"	120	3.73794497016157
"120"	121	3.65310430149952
"121"	122	3.62864752835587
"122"	123	3.62207531988609
"123"	124	3.60120155983952
"124"	125	3.55363023980299
"125"	126	3.51122845489055
"126"	127	3.46629567762134
"127"	128	3.42707963545331
"128"	129	3.42512389229579
"129"	130	3.43284786426
"130"	131	3.41141395358187
"131"	132	3.41849325553282
"132"	133	3.36671551729137
"133"	134	3.30961217396645
"134"	135	3.26718251823335
"135"	136	3.25264189045329
"136"	137	3.24846173851525
"137"	138	3.20616079942146
"138"	139	3.16694508080538
"139"	140	3.17684687122902
"140"	141	3.16619137078538
"141"	142	3.14291633679411
"142"	143	3.10198293541151
"143"	144	3.03160457959591
"144"	145	2.96331591859281
"145"	146	2.93736513495747
"146"	147	2.87561839502843
"147"	148	2.82969686710986
"148"	149	2.74407464940649
"149"	150	2.68555726846349
"150"	151	2.66881382917521
"151"	152	2.63119576441693
"152"	153	2.61760839463057
"153"	154	2.63802632353296
"154"	155	2.58263882498277
"155"	156	2.61188678097487
"156"	157	2.60186338718151
"157"	158	2.5865226039867
"158"	159	2.6083074265283
"159"	160	2.59062927932474
"160"	161	2.50407384348683
"161"	162	2.47402826012074
"162"	163	2.53279678138371
"163"	164	2.48357522775419
"164"	165	2.46131600256631
"165"	166	2.49809773658943
"166"	167	2.48245408888979
"167"	168	2.54698290092003
"168"	169	2.47324322640912
"169"	170	2.40255007063825
"170"	171	2.37004636461003
"171"	172	2.33988628685412
"172"	173	2.31175504482175
"173"	174	2.28760665141863
"174"	175	2.34077340020082
"175"	176	2.35881736608439
"176"	177	2.33201719681233
"177"	178	2.36345435041796
"178"	179	2.27571638202522
"179"	180	2.29859087556413
"180"	181	2.26681729977336
"181"	182	2.24192417178465
"182"	183	2.15497700810201
"183"	184	2.21585317274844
"184"	185	2.1842623422923
"185"	186	2.19368892830223
"186"	187	2.11684502296378
"187"	188	2.07124506925802
"188"	189	2.0707037473901
"189"	190	2.14666524596967
"190"	191	2.11953075543289
"191"	192	2.04699250380337
"192"	193	1.92456433512027
"193"	194	1.79842552096389
"194"	195	1.86708166315714
"195"	196	1.90881446776474
"196"	197	1.8166916706666
"197"	198	1.8207803068236
"198"	199	1.7186026070318
"199"	200	1.59685624223133
"200"	201	1.44908761508955
"201"	202	1.41166525762619
"202"	203	1.39072565377115
"203"	204	1.29291182452761
"204"	205	1.24130749503311
"205"	206	1.33922828615496
"206"	207	1.49753240473947
"207"	208	1.41810227014652
"208"	209	1.34601510733713
"209"	210	1.27707396339235
"210"	211	1.21954550058777
"211"	212	1.22405855209553
"212"	213	1.27283212929241
"213"	214	1.40117414629359
"214"	215	1.30375235845393
"215"	216	1.19449494580465
"216"	217	1.22864545565772
"217"	218	1.19464499133077
"218"	219	1.19137191214585
"219"	220	1.12250580613521
"220"	221	1.15961588256111
"221"	222	0.798882360185805
"222"	223	0.410116318288409
"223"	224	0.369333121645653
"224"	225	0.441803348010016
"225"	226	0.325082973391448
"226"	227	0.340499778471299
"227"	228	0.264052051825629
"228"	229	0.163023629494366
"229"	230	0
"230"	231	0
"231"	232	0
"232"	233	0
"233"	234	0
"234"	235	0
"235"	236	0
"236"	237	0
"237"	238	0
"238"	239	0
"239"	240	0
"240"	241	0
"241"	242	0
"242"	243	0
"243"	244	0
"244"	245	0
"245"	246	0
"246"	247	0
"247"	248	0
"248"	249	0
"249"	250	0
"250"	251	0
"251"	252	0
"252"	253	0
"253"	254	0
"254"	255	0
"255"	256	0
"256"	257	0
"257"	258	0
"258"	259	0
"259"	260	0
"260"	261	0
"261"	262	0
"262"	263	0
"263"	264	0
"264"	265	0
"265"	266	0
"266"	267	0
"267"	268	0
"268"	269	0
"269"	270	0
"270"	271	0
"271"	272	0
"272"	273	0
"273"	274	0
"274"	275	0
"275"	276	0
"276"	277	0
"277"	278	0
"278"	279	0
"279"	280	0
"280"	281	0
"281"	282	0
"282"	283	0
"283"	284	0
"284"	285	0
"285"	286	0
"286"	287	0
"287"	288	0
"288"	289	0
"289"	290	0
"290"	291	0
"291"	292	0
"292"	293	0
"293"	294	0
"294"	295	0
