"Time"	"indice"
"1"	2	NA
"2"	3	0.0381321119903881
"3"	4	0.0452568752948158
"4"	5	0.0873847094299848
"5"	6	0.0926350701134662
"6"	7	0.0843369442198049
"7"	8	0.122141326769111
"8"	9	0.132126512674252
"9"	10	0.135452246677674
"10"	11	0.153835085652261
"11"	12	0.172233641494485
"12"	13	0.208721981517141
"13"	14	0.289183266358186
"14"	15	0.355630226546687
"15"	16	0.445728446324536
"16"	17	0.541791724796691
"17"	18	0.66020745590538
"18"	19	0.794325136954413
"19"	20	0.952155399824327
"20"	21	1.08163691692346
"21"	22	1.21263780381446
"22"	23	1.31001300372935
"23"	24	1.3946321638804
"24"	25	1.48790853494399
"25"	26	1.57311052556174
"26"	27	1.64997785655469
"27"	28	1.71761447369447
"28"	29	1.77154186669869
"29"	30	1.82137599608952
"30"	31	1.86655086282823
"31"	32	1.9070246639225
"32"	33	1.93559189716191
"33"	34	1.96611491324179
"34"	35	1.99104726782584
"35"	36	2.00937556147232
"36"	37	2.02330629453801
"37"	38	2.03669367324278
"38"	39	2.04760556914316
"39"	40	2.06418413660327
"40"	41	2.07310426601755
"41"	42	2.08052058750152
"42"	43	2.09096383263739
"43"	44	2.0979284740789
"44"	45	2.10453165384707
"45"	46	2.10946130317557
"46"	47	2.11264998235637
"47"	48	2.11914668212169
"48"	49	2.12187087643334
"49"	50	2.12301286085653
"50"	51	2.12695814875045
"51"	52	2.13129199066425
"52"	53	2.13305718566415
"53"	54	2.1347436391435
"54"	55	2.13694322802785
"55"	56	2.13961646308627
"56"	57	2.14177532301415
"57"	58	2.14363059640501
"58"	59	2.14364410094307
"59"	60	2.14706042428724
"60"	61	2.14593245283599
"61"	62	2.14689849156589
"62"	63	2.14805643588078
"63"	64	2.14944859918426
"64"	65	2.14942767843773
"65"	66	2.15049140426309
"66"	67	2.15502519568625
"67"	68	2.1563367441889
"68"	69	2.15861748814544
"69"	70	2.15802509861447
"70"	71	2.15973173945726
"71"	72	2.16306893203237
"72"	73	2.16376659069647
"73"	74	2.16600166085659
"74"	75	2.1670302131838
"75"	76	2.16976119582158
"76"	77	2.17032050491407
"77"	78	2.17204989642992
"78"	79	2.17163446239883
"79"	80	2.16752507068813
"80"	81	2.16580122513365
"81"	82	2.16607498555335
"82"	83	2.16214311294699
"83"	84	2.16125441250374
"84"	85	2.16017039450752
"85"	86	2.15747589195905
"86"	87	2.16292790696732
"87"	88	2.16382167593756
"88"	89	2.16270989969386
"89"	90	2.16101178333315
"90"	91	2.16002317049034
"91"	92	2.1607688621164
"92"	93	2.15984910896501
"93"	94	2.15980661479143
"94"	95	2.1579807147618
"95"	96	2.1588350619881
"96"	97	2.15778785605852
"97"	98	2.15566363079932
"98"	99	2.15488585504479
"99"	100	2.1533024258196
"100"	101	2.15485948648709
"101"	102	2.15400356886646
"102"	103	2.15217425753803
"103"	104	2.15190110116613
"104"	105	2.14854921817513
"105"	106	2.14942136531409
"106"	107	2.14866140646229
"107"	108	2.14712947178287
"108"	109	2.14764810865637
"109"	110	2.14319301578439
"110"	111	2.13785704146017
"111"	112	2.14175754422501
"112"	113	2.13932360581821
"113"	114	2.13812530784417
"114"	115	2.13683884689448
"115"	116	2.14615650302963
"116"	117	2.12765072524516
"117"	118	2.13435732755885
"118"	119	2.14004690088692
"119"	120	2.13595810101675
"120"	121	2.129148213362
"121"	122	2.12496652319404
"122"	123	2.12926377247802
"123"	124	2.1304119539668
"124"	125	2.1307186656506
"125"	126	2.12922996435967
"126"	127	2.12505402024163
"127"	128	2.12593536290654
"128"	129	2.13212953703933
"129"	130	2.14368680110727
"130"	131	2.13926507432636
"131"	132	2.14053154156998
"132"	133	2.1249125120911
"133"	134	2.12686398463533
"134"	135	2.12539670520882
"135"	136	2.11355274873984
"136"	137	2.11404224699073
"137"	138	2.10906391038563
"138"	139	2.12214654510789
"139"	140	2.11063977165435
"140"	141	2.11037469809762
"141"	142	2.10669377323441
"142"	143	2.10754503872881
"143"	144	2.10465156366419
"144"	145	2.11781113591567
"145"	146	2.12960941325575
"146"	147	2.13158804082041
"147"	148	2.12791824682463
"148"	149	2.1404328182865
"149"	150	2.14451600993745
"150"	151	2.12998392306549
"151"	152	2.13398275889008
"152"	153	2.15235472651135
"153"	154	2.15384324325506
"154"	155	2.15259463724456
"155"	156	2.14120377314129
"156"	157	2.13784834851087
"157"	158	2.1234027289546
"158"	159	2.10233454894801
"159"	160	2.10116379267035
"160"	161	2.09904296080564
"161"	162	2.07520097983679
"162"	163	2.10255581269096
"163"	164	2.10312996077286
"164"	165	2.11863510685634
"165"	166	2.10941309757013
"166"	167	2.10343245232518
"167"	168	2.08569747797382
"168"	169	2.12910719908194
"169"	170	2.14600039686717
"170"	171	2.1401577478519
"171"	172	2.12975094300372
"172"	173	2.14349543036892
"173"	174	2.16241766404165
"174"	175	2.16525292439086
"175"	176	2.16124712767861
"176"	177	2.11407820474289
"177"	178	2.08253631144568
"178"	179	2.09388433425844
"179"	180	2.07385882673795
"180"	181	2.079412363848
"181"	182	2.08382861941793
"182"	183	2.03815485364464
"183"	184	2.05927836137213
"184"	185	1.96991032807177
"185"	186	2.02654960554067
"186"	187	2.02258013117489
"187"	188	2.03666953129044
"188"	189	2.05716560418466
"189"	190	2.09225233511086
"190"	191	2.02181075831231
"191"	192	2.06671064170352
"192"	193	2.07463204085946
"193"	194	1.96759565750081
"194"	195	1.9224916095688
"195"	196	1.98939561969546
"196"	197	1.98138015210444
"197"	198	1.94678815340759
"198"	199	1.85901641661969
"199"	200	1.92999155682995
