"V1" "V2" "V3"
"1" 0 1001 0
"2" 1001 1002 1.16
"3" 1002 1003 3.97
"4" 1003 1004 10.22
"5" 1003 1005 11.54
"6" 1004 1006 12.26
"7" 1004 1007 12.88
"8" 1005 1008 13.52
"9" 1005 1009 13.57
"10" 1006 1010 14.14
"11" 1006 1011 14.19
"12" 1007 1012 14.34
"13" 1009 1013 14.62
"14" 1010 1014 15.18
"15" 1012 1015 15.58
"16" 1008 1016 15.73
"17" 1013 1017 15.8
"18" 1005 1018 15.86
"19" 1007 1019 15.9
"20" 1010 1020 16.13
